Make,Model,Year,Price,Mileage,Body_Type,Cylinders,Transmission,Fuel_Type,Color,Location
chevrolet,corvette,2018,114082,60495,Sports Car,8,Automatic Transmission,Gasoline,Gold, Dubai
nissan,pathfinder,2007,17201,197383,Crossover,6,Automatic Transmission,Gasoline,Silver, Sharjah
bmw,3-series,2013,81187,226421,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
bmw,6-series,2024,194880,78110,Coupe,8,Automatic Transmission,Gasoline,Green, Abu Dhabi
rolls-royce,dawn,2021,2354999,191540,Soft Top Convertible,12,Automatic Transmission,Gasoline,Grey, Dubai
kia,sorento,2012,21730,112791,SUV,4,Automatic Transmission,Gasoline,White, Dubai
audi,q5,2007,43120,106670,SUV,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,c-class,2021,29595,41245,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,s-class,2024,1366367,40657,Sedan,12,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,c-class,2023,170891,37774,Sedan,4,Automatic Transmission,Gasoline,Gold, Dubai
nissan,altima,2010,50671,230891,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai
toyota,corolla,2022,14215,68017,Sedan,4,Automatic Transmission,Gasoline,Red, Ajman
mercedes-benz,s-class,2022,650796,40469,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
toyota,corolla-cross,2017,94340,94536,Crossover,4,Automatic Transmission,Hybrid,White, Dubai
kia,sportage,2005,13353,276714,SUV,4,Automatic Transmission,Gasoline,Black, Abu Dhabi
dodge,charger,2007,63017,94786,Sedan,8,Automatic Transmission,Gasoline,Grey, Sharjah
mercedes-benz,e-class,2015,39712,36646,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai
chevrolet,tahoe,2019,27682,238302,SUV,8,Automatic Transmission,Gasoline,White,Sharjah
toyota,yaris,2017,37993,237158,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai
suzuki,jimny,2013,79178,280255,SUV,4,Automatic Transmission,Gasoline,Silver, Dubai
nissan,patrol,2012,297774,205258,SUV,8,Automatic Transmission,Gasoline,Silver, Dubai
mercedes-benz,e-class,2007,360912,274017,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
toyota,prado,2023,142612,100089,SUV,6,Automatic Transmission,Gasoline,White, Sharjah
nissan,patrol,2005,143269,292896,SUV,6,Automatic Transmission,Gasoline,White, Dubai
chevrolet,traverse,2009,24653,70120,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
toyota,c-hr,2017,130027,85509,SUV,4,Automatic Transmission,Hybrid,White, Dubai
mclaren,p1,2005,12909943,10006,Sports Car,8,Automatic Transmission,Hybrid,Yellow, Dubai
ford,f-series-pickup,2009,233951,284544,Pick Up Truck,6,Automatic Transmission,Hybrid,Black, Dubai
ferrari,f8-tributo-spider,2023,1641423,109911,Soft Top Convertible,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,gt,2023,259184,233479,Sports Car,8,Automatic Transmission,Gasoline,White, Abu Dhabi
audi,q7,2022,20648,275873,SUV,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,m-class,2014,87266,245744,SUV,6,Automatic Transmission,Gasoline,White, Dubai
chevrolet,captiva,2014,92093,16865,SUV,4,Automatic Transmission,Gasoline,Black, Dubai
nissan,altima,2009,36066,251638,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
toyota,fortuner,2020,33573,222361,SUV,6,Automatic Transmission,Gasoline,Red, Dubai
ford,shelby-cobra,2011,260001,30160,Soft Top Convertible,8,Automatic Transmission,Gasoline,Grey, Dubai
bentley,azure,2019,349734,62371,Soft Top Convertible,8,Automatic Transmission,Gasoline,Blue, Dubai
audi,a5,2024,58150,183109,Hard Top Convertible,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,s-class,2021,101729,265673,Sedan,8,Automatic Transmission,Gasoline,Brown, Dubai
toyota,land-cruiser,2024,229344,194879,SUV,8,Automatic Transmission,Gasoline,White, Dubai
rolls-royce,phantom,2013,1032536,237364,Sedan,12,Automatic Transmission,Gasoline,Blue, Dubai
aston-martin,vanquish,2009,493420,214015,Coupe,8,Automatic Transmission,Gasoline,Silver, Dubai
gmc,sierra,2019,118461,279465,Pick Up Truck,6,Automatic Transmission,Gasoline,Black, Dubai
jaguar,f-type,2012,194686,273836,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai
porsche,cayman,2017,494793,126705,Coupe,6,Automatic Transmission,Gasoline,Grey, Dubai
kia,optima,2005,41168,78847,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
ford,figo,2013,17016,278229,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai
lamborghini,urus,2021,1556968,25785,SUV,8,Automatic Transmission,Gasoline,Orange, Dubai
hyundai,sonata,2012,28308,52790,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai
toyota,rush,2019,63929,289272,SUV,4,Automatic Transmission,Gasoline,Red, Dubai
bmw,x5,2022,316522,294154,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
porsche,macan,2010,154661,84291,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai
mercedes-benz,s-class,2008,84859,214138,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai
jaguar,f-type,2009,172250,277470,Coupe,6,Automatic Transmission,Gasoline,White, Dubai
dodge,ram,2022,193512,104140,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai
toyota,avanza,2019,27715,40349,SUV,4,Automatic Transmission,Gasoline,Black, Abu Dhabi
mercedes-benz,e-class,2022,418382,54755,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
ford,ranger,2009,48624,206542,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai
volkswagen,teramont,2023,131811,99923,SUV,6,Automatic Transmission,Gasoline,Red, Dubai
ferrari,f8-tributo,2005,1102296,190061,Sports Car,8,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,g-class,2022,268468,181765,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
kia,optima,2005,27905,54701,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah
volkswagen,gti,2007,95908,147725,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai
ford,f-series-pickup,2011,149512,153924,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai
mclaren,other,2022,644955,201921,Coupe,8,Automatic Transmission,Gasoline,Orange, Dubai
peugeot,2008,2010,51933,120404,SUV,3,Automatic Transmission,Gasoline,Red, Dubai
toyota,yaris,2010,13303,189881,Hatchback,4,Automatic Transmission,Hybrid,White,Sharjah
audi,a5,2019,278281,122167,Hatchback,4,Automatic Transmission,Gasoline,Grey, Abu Dhabi
lincoln,mkt,2022,40307,274700,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
bmw,x5,2006,343738,98450,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
bmw,x6,2011,508730,58653,SUV,6,Automatic Transmission,Gasoline,White, Dubai
porsche,panamera,2010,413372,77044,Hatchback,6,Automatic Transmission,Gasoline,Grey, Dubai
land-rover,range-rover-velar,2016,237484,28607,SUV,4,Automatic Transmission,Gasoline,Red, Dubai
ford,mustang,2005,122045,246940,Sports Car,8,Automatic Transmission,Gasoline,Grey, Dubai
mazda,cx-9,2013,83450,26396,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai
mercedes-benz,gt,2014,302353,258445,Sports Car,8,Automatic Transmission,Gasoline,White, Abu Dhabi
chevrolet,captiva,2015,70153,21651,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai
bmw,7-series,2012,89388,192512,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai
mercedes-benz,c-class,2021,118557,84796,Sedan,4,Automatic Transmission,Gasoline,Blue, Sharjah
chevrolet,caprice,2009,23005,248131,Sedan,8,Automatic Transmission,Gasoline,White, Dubai
maserati,levante,2016,229165,59370,SUV,6,Automatic Transmission,Gasoline,White, Dubai
porsche,carrera,2018,737665,147231,Coupe,6,Automatic Transmission,Gasoline,Green, Dubai
land-rover,lr2,2020,37716,144631,SUV,4,Automatic Transmission,Gasoline,Black, Dubai
infiniti,q50,2007,55904,192639,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
bmw,x6,2005,44226,31644,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
gmc,yukon,2013,303404,81085,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,g-class,2005,115849,78606,SUV,8,Automatic Transmission,Gasoline,White, Dubai
bmw,x6,2024,160676,157875,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
nissan,altima,2021,20650,222056,Sedan,4,Automatic Transmission,Gasoline,White, Abu Dhabi
nissan,altima,2009,58468,194346,Sedan,4,Automatic Transmission,Gasoline,White, Sharjah
mercedes-benz,sl-class,2013,218765,91509,Sedan,8,Automatic Transmission,Gasoline,White, Abu Dhabi
ford,f-series-pickup,2008,142617,285063,Other,6,Automatic Transmission,Gasoline,Black, Sharjah
mercedes-benz,s-class,2020,157112,16208,Sedan,8,Automatic Transmission,Gasoline,White, Dubai
ford,mustang,2017,53887,76723,Coupe,6,Manual Transmission,Gasoline,Orange, Sharjah
mini,cooper,2017,39142,101386,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai
toyota,land-cruiser,2021,93799,284628,SUV,6,Automatic Transmission,Gasoline,Red, Dubai
mercedes-benz,e-class,2009,67686,288780,Sedan,4,Automatic Transmission,Gasoline,Black, Dubai
land-rover,range-rover-sport,2014,70805,93660,SUV,8,Automatic Transmission,Gasoline,White, Dubai
toyota,land-cruiser,2005,159375,66507,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
mitsubishi,l200,2010,55673,216865,Pick Up Truck,4,Manual Transmission,Gasoline,White, Dubai
hyundai,tucson,2019,54099,235504,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai
bmw,x5,2010,219655,258690,SUV,6,Automatic Transmission,Gasoline,Black, Sharjah
land-rover,range-rover,2006,25482,284182,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
ford,escape,2009,24277,129540,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai
toyota,fj-cruiser,2007,29378,47218,SUV,6,Automatic Transmission,Gasoline,Yellow, Dubai
land-rover,lr4,2005,76260,46591,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
audi,r8,2008,397282,114582,Coupe,10,Automatic Transmission,Gasoline,Red, Dubai
chevrolet,silverado,2005,98525,122002,Pick Up Truck,8,Automatic Transmission,Gasoline,Black, Dubai
nissan,patrol,2005,93069,42970,SUV,8,Automatic Transmission,Gasoline,White, Fujeirah
porsche,cayenne,2010,165647,93392,SUV,6,Automatic Transmission,Gasoline,Red, Dubai
land-rover,range-rover-sport,2015,459141,188320,SUV,6,Automatic Transmission,Gasoline,White, Dubai
tesla,model-3,2008,245390,63304,Sedan,4,Automatic Transmission,Electric,Black, Abu Dhabi
volkswagen,touareg,2017,115199,102458,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai
land-rover,range-rover-sport,2021,119042,140351,SUV,6,Automatic Transmission,Gasoline,White, Dubai
jeep,wrangler-unlimited,2024,84736,91526,SUV,6,Automatic Transmission,Gasoline,Silver, Sharjah
bmw,4-series,2011,134011,228061,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai
land-rover,range-rover,2019,666123,65969,SUV,8,Automatic Transmission,Gasoline,White, Dubai
nissan,patrol,2023,152233,294639,SUV,6,Automatic Transmission,Gasoline,Gold, Dubai
lexus,is-series,2012,159130,226825,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
cadillac,ats,2012,32120,198575,Sedan,4,Automatic Transmission,Gasoline,Beige, Dubai
dodge,ram,2009,52424,215758,Pick Up Truck,8,Automatic Transmission,Gasoline,White, Dubai
dodge,durango,2010,47673,159704,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
jaguar,xf,2015,70284,262189,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
toyota,land-cruiser,2015,215114,287904,SUV,8,Automatic Transmission,Gasoline,White, Dubai
toyota,rav-4,2011,31678,167504,SUV,4,Automatic Transmission,Gasoline,White, Dubai
volkswagen,jetta,2020,36540,50031,Sedan,4,Automatic Transmission,Gasoline,Red, Dubai
audi,a7,2008,48500,88861,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
mitsubishi,pajero,2014,48669,144221,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
gmc,yukon,2023,120125,36039,SUV,8,Automatic Transmission,Gasoline,Gold, Sharjah
infiniti,q80,2011,139762,260270,SUV,8,Automatic Transmission,Gasoline,White, Dubai
lexus,lx600,2016,732378,74917,SUV,6,Automatic Transmission,Gasoline,Other Color, Sharjah
lexus,is-f,2009,58521,203037,Sedan,6,Automatic Transmission,Gasoline,White, Ajman
porsche,carrera,2014,229928,262014,Coupe,6,Automatic Transmission,Gasoline,Black, Dubai
bmw,5-series,2023,175835,140731,Sedan,6,Automatic Transmission,Gasoline,White, Abu Dhabi
nissan,patrol,2006,117902,206268,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
ferrari,f430,2013,484821,225446,Coupe,8,Automatic Transmission,Gasoline,Red, Dubai
lamborghini,aventador,2015,2746710,197446,Hard Top Convertible,12,Automatic Transmission,Gasoline,Purple, Dubai
subaru,brz,2015,90265,260227,Coupe,4,Automatic Transmission,Gasoline,White, Dubai
volkswagen,passat,2013,22167,133948,Sedan,5,Automatic Transmission,Gasoline,Red, Abu Dhabi
cadillac,ats,2005,38694,58869,Sedan,4,Automatic Transmission,Gasoline,Red, Ajman
dodge,charger,2016,38645,185398,Sedan,6,Automatic Transmission,Gasoline,Blue, Dubai
nissan,maxima,2010,39590,115520,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai
porsche,cayenne,2023,26689,144687,SUV,8,Automatic Transmission,Gasoline,White, Dubai
chevrolet,silverado,2022,85153,88434,Pick Up Truck,8,Automatic Transmission,Gasoline,White, Dubai
land-rover,range-rover-evoque,2023,320182,124490,SUV,4,Automatic Transmission,Gasoline,Blue, Dubai
mercedes-benz,e-class,2018,53552,68759,Sedan,6,Automatic Transmission,Gasoline,Grey, Sharjah
hyundai,santa-fe,2006,83380,253657,SUV,4,Automatic Transmission,Gasoline,Grey, Sharjah
mercedes-benz,r-class,2021,56244,170402,Hatchback,6,Automatic Transmission,Gasoline,White, Dubai
aston-martin,vantage,2008,200318,235854,Coupe,8,Automatic Transmission,Gasoline,White, Dubai
mclaren,570gt,2008,441699,292545,Coupe,8,Automatic Transmission,Gasoline,Black, Sharjah
mercedes-benz,cls-class,2010,86297,109456,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai
mclaren,720s,2014,1745859,131685,Sports Car,8,Automatic Transmission,Gasoline,Yellow, Dubai
toyota,land-cruiser-76-series,2011,134242,69330,SUV,6,Manual Transmission,Gasoline,Beige, Abu Dhabi
mercedes-benz,e-class,2017,219577,113474,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,slr,2008,4811366,255855,Soft Top Convertible,8,Automatic Transmission,Gasoline,Silver, Dubai
mercedes-benz,s-class,2006,31187,104701,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
nissan,patrol,2006,79075,251123,SUV,8,Automatic Transmission,Gasoline,Gold, Dubai
porsche,panamera,2017,96919,14188,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
chevrolet,captiva,2021,40688,294566,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai
dodge,challenger,2021,56122,228094,Coupe,6,Automatic Transmission,Gasoline,White, Dubai
bmw,1-series,2020,84685,281703,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai
dodge,charger,2015,239303,239712,Sedan,8,Automatic Transmission,Gasoline,Grey, Dubai
porsche,cayenne,2006,147177,91853,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
chevrolet,corvette,2018,494861,171421,Hard Top Convertible,8,Automatic Transmission,Gasoline,Black, Dubai
toyota,hilux,2011,81348,106666,Pick Up Truck,4,Automatic Transmission,Gasoline,Black, Dubai
chevrolet,cruze,2016,14592,109276,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai
hyundai,h1,2012,32296,127972,Van,4,Automatic Transmission,Gasoline,White, Dubai
nissan,altima,2024,7183,293041,Sedan,4,Automatic Transmission,Gasoline,Black, Ajman
chevrolet,suburban,2017,231524,151938,SUV,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,m-class,2010,21558,235235,SUV,6,Automatic Transmission,Gasoline,Red,Dubai
land-rover,defender,2013,480040,19406,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai
mercedes-benz,g-class,2024,888381,59994,SUV,8,Automatic Transmission,Gasoline,White, Dubai
toyota,avanza,2017,24722,65057,Van,4,Automatic Transmission,Gasoline,White, Dubai
chevrolet,cruze,2014,36710,16056,Hatchback,4,Automatic Transmission,Gasoline,Black, Dubai
lexus,lx-series,2021,119353,195524,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
dodge,charger,2011,81177,299221,Sedan,8,Automatic Transmission,Gasoline,White, Sharjah
mercedes-benz,g-class,2009,114090,84839,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
mitsubishi,pajero,2012,39576,254764,SUV,6,Automatic Transmission,Gasoline,Beige, Dubai
jeep,grand-cherokee,2022,276632,188782,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,s-class,2007,292728,95471,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
kia,sorento,2008,65977,190558,SUV,6,Automatic Transmission,Gasoline,Blue, Dubai
mercedes-benz,amg,2022,291913,296947,Sedan,12,Automatic Transmission,Gasoline,Black, Ajman
land-rover,range-rover,2024,170711,66486,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,s-class,2008,321223,91929,Sedan,8,Automatic Transmission,Gasoline,Blue, Dubai
mercedes-benz,g-class,2012,905065,205161,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
porsche,panamera,2017,72737,164253,Sports Car,8,Automatic Transmission,Gasoline,Blue, Dubai
ford,f-series-pickup,2015,53763,21531,Pick Up Truck,8,Automatic Transmission,Gasoline,Red, Abu Dhabi
porsche,boxster,2015,183524,166962,Soft Top Convertible,4,Automatic Transmission,Gasoline,White,Abu Dhabi
bmw,x6,2006,83644,271026,SUV,8,Automatic Transmission,Gasoline,White, Dubai
toyota,land-cruiser,2015,195304,178537,SUV,6,Automatic Transmission,Gasoline,Silver, Dubai
honda,civic,2024,28194,42302,Sedan,4,Automatic Transmission,Gasoline,Brown, Dubai
porsche,cayenne,2023,44354,53951,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,g-class,2020,128490,39003,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,s-class,2017,40914,254111,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai
volkswagen,golf,2022,54668,256730,Hatchback,4,Automatic Transmission,Gasoline,Blue, Dubai
dodge,challenger,2005,67981,204137,Sports Car,8,Automatic Transmission,Gasoline,Grey, Sharjah
jeep,compass,2009,59115,31593,SUV,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,e-class-coupe,2009,82819,56604,Coupe,4,Automatic Transmission,Gasoline,White, Dubai
bentley,continental-gt,2020,197706,165771,Coupe,8,Automatic Transmission,Gasoline,Grey, Dubai
mercedes-benz,a-class,2021,161679,80277,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai
audi,q7,2019,218110,69255,SUV,6,Automatic Transmission,Gasoline,Beige, Dubai
honda,hr-v,2005,71457,179060,SUV,4,Automatic Transmission,Gasoline,Blue, Ajman
land-rover,range-rover-sport,2017,288478,108151,SUV,6,Automatic Transmission,Gasoline,White, Dubai
lamborghini,urus,2008,1530117,153065,SUV,8,Automatic Transmission,Gasoline,Blue, Dubai
ford,explorer,2024,88403,147968,SUV,6,Automatic Transmission,Gasoline,White, Dubai
land-rover,range-rover,2022,190988,71100,SUV,8,Automatic Transmission,Gasoline,White, Dubai
ford,explorer,2006,62322,86595,SUV,6,Automatic Transmission,Gasoline,Red, Dubai
maserati,quattroporte,2009,108134,179752,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai
kia,mohave,2016,37528,36814,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
chevrolet,equinox,2010,52675,104975,Crossover,4,Automatic Transmission,Gasoline,White, Sharjah
nissan,patrol,2017,277707,124810,SUV,8,Automatic Transmission,Gasoline,White, Dubai
rolls-royce,wraith,2006,548526,161291,Coupe,12,Automatic Transmission,Gasoline,White, Dubai
audi,q5,2024,81386,32969,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai
ford,explorer,2018,62651,60098,SUV,6,Automatic Transmission,Gasoline,White, Dubai
kia,rio,2024,60265,120324,Hatchback,4,Automatic Transmission,Gasoline,White,Sharjah
renault,other,2018,90539,228096,Hatchback,4,Automatic Transmission,Electric,Blue, Dubai
toyota,86,2023,41454,285577,Coupe,4,Manual Transmission,Gasoline,White, Dubai
volvo,xc90,2021,250100,132063,SUV,4,Automatic Transmission,Gasoline,Black, Dubai
nissan,pathfinder,2012,41063,70582,SUV,6,Automatic Transmission,Gasoline,White, Sharjah
mitsubishi,pajero,2012,67347,285003,SUV,6,Automatic Transmission,Gasoline,White, Dubai
toyota,land-cruiser,2020,291474,33398,SUV,6,Automatic Transmission,Gasoline,Grey, Dubai
jeep,wrangler-unlimited,2005,43803,273667,Hard Top Convertible,6,Automatic Transmission,Gasoline,Silver, Dubai
nissan,patrol,2006,101715,143159,SUV,8,Automatic Transmission,Gasoline,White, Dubai
ford,fusion,2019,14885,37482,Sedan,4,Automatic Transmission,Gasoline,Blue, Dubai
lexus,lx600,2007,632825,90418,SUV,6,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,gle-coupe,2010,288050,19515,SUV,8,Automatic Transmission,Gasoline,White, Dubai
mercedes-maybach,s-class,2019,1153255,299537,Sedan,12,Automatic Transmission,Gasoline,Green, Dubai
rolls-royce,cullinan,2007,2244898,291472,SUV,12,Automatic Transmission,Gasoline,Blue, Dubai
toyota,land-cruiser,2006,455323,77283,SUV,6,Automatic Transmission,Diesel,Black, Dubai
lexus,lx-series,2015,83930,206514,SUV,8,Automatic Transmission,Gasoline,White, Sharjah
nissan,patrol,2011,62122,136104,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
land-rover,range-rover,2010,158455,105759,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
lexus,is-series,2020,103489,272651,Sedan,4,Automatic Transmission,Gasoline,Grey, Dubai
lamborghini,urus,2013,2666936,260441,SUV,8,Automatic Transmission,Gasoline,Yellow, Dubai
rolls-royce,wraith,2023,1698930,276583,Coupe,12,Automatic Transmission,Gasoline,White, Dubai
lexus,ls-series,2015,20376,93384,Sedan,8,Automatic Transmission,Gasoline,Black, Sharjah
chevrolet,captiva,2010,81526,106460,SUV,4,Automatic Transmission,Gasoline,Grey, Dubai
mercedes-benz,e-class,2015,46434,131010,Coupe,6,Automatic Transmission,Gasoline,Blue, Dubai
mercedes-benz,glc-63,2014,387262,97868,Sedan,8,Automatic Transmission,Gasoline,Silver, Dubai
toyota,prado,2013,77781,242613,SUV,5,Automatic Transmission,Gasoline,Grey, Dubai
honda,accord,2009,70291,276776,Sedan,6,Automatic Transmission,Gasoline,Grey, Dubai
land-rover,range-rover-sport,2012,23168,81639,SUV,8,Automatic Transmission,Gasoline,White, Dubai
volkswagen,tiguan,2014,79465,296673,SUV,4,Automatic Transmission,Gasoline,Brown, Dubai
dodge,charger,2018,74164,124329,Sedan,6,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,s-class,2018,548659,168739,Sedan,8,Automatic Transmission,Gasoline,Black, Dubai
volkswagen,gti,2015,47596,120576,Hatchback,4,Automatic Transmission,Gasoline,Black, Dubai
jeep,grand-cherokee,2005,21697,256667,SUV,6,Automatic Transmission,Gasoline,Red, Sharjah
land-rover,range-rover-evoque,2024,82827,297969,SUV,4,Automatic Transmission,Gasoline,Other Color, Dubai
porsche,panamera,2022,78419,223320,Sedan,8,Automatic Transmission,Gasoline,White, Sharjah
jeep,cherokee,2006,43546,224990,SUV,6,Automatic Transmission,Gasoline,Grey, Sharjah
lamborghini,huracan,2006,1787384,33622,Sports Car,10,Automatic Transmission,Gasoline,Silver, Dubai
mercedes-benz,g-class,2011,1495862,256078,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
mercedes-benz,glc,2010,269280,263984,SUV,4,Automatic Transmission,Gasoline,Black, Dubai
chrysler,200cev200,2017,20665,261963,Sedan,6,Automatic Transmission,Gasoline,Silver, Dubai
bmw,x1,2023,49241,44748,SUV,4,Automatic Transmission,Gasoline,Black, Dubai
volkswagen,passat,2022,27933,250002,Sedan,5,Automatic Transmission,Gasoline,Other Color, Dubai
peugeot,3008-gt-line,2020,95966,53743,SUV,4,Automatic Transmission,Gasoline,White, Dubai
hyundai,i10,2022,10770,287342,Hatchback,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,c-class,2023,153171,191778,Coupe,8,Automatic Transmission,Gasoline,White, Abu Dhabi
audi,q7,2017,73243,275896,SUV,6,Automatic Transmission,Gasoline,Brown, Dubai
audi,a7,2016,59476,183064,Sedan,6,Automatic Transmission,Gasoline,Grey, Abu Dhabi
porsche,carrera,2024,950356,36120,Coupe,6,Automatic Transmission,Gasoline,Silver, Dubai
bmw,5-series,2018,37010,219227,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
lincoln,mkz,2017,53209,104784,Sedan,4,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,g-class,2019,977251,104011,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
cadillac,escalade,2008,487375,72706,SUV,8,Automatic Transmission,Gasoline,Black, Dubai
bmw,x6,2020,140137,235075,SUV,8,Automatic Transmission,Gasoline,Black, Sharjah
mercedes-benz,s-class,2020,38407,12579,Sedan,8,Automatic Transmission,Gasoline,Gold, Dubai
toyota,prado,2020,42967,129113,SUV,6,Automatic Transmission,Gasoline,White, Dubai
mercedes-benz,g-class,2021,1093793,100404,SUV,8,Automatic Transmission,Gasoline,Grey, Dubai
volkswagen,passat,2015,33491,145900,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
lamborghini,aventador,2021,2545646,194501,Sports Car,12,Automatic Transmission,Gasoline,Yellow, Dubai
mitsubishi,l200,2012,46548,187524,Pick Up Truck,4,Manual Transmission,Diesel,White, Dubai
bmw,8-series,2013,363566,68105,Sedan,6,Automatic Transmission,Gasoline,White, Dubai
toyota,rav-4,2006,47340,39026,SUV,4,Automatic Transmission,Gasoline,Red, Abu Dhabi
lexus,gs-series,2014,47139,221668,Sedan,6,Automatic Transmission,Gasoline,Black, Abu Dhabi
bmw,7-series,2016,297369,134011,Sedan,8,Automatic Transmission,Gasoline,Green, Dubai
mercedes-benz,g-class,2024,965931,263995,SUV,6,Automatic Transmission,Gasoline,Black, Dubai
volkswagen,transporter,2024,36066,98597,Van,4,Manual Transmission,Gasoline,White, Dubai
hyundai,veracruz,2018,15025,281898,Pick Up Truck,4,Automatic Transmission,Gasoline,Black, Dubai
volkswagen,golf,2006,73601,297761,Hatchback,4,Automatic Transmission,Gasoline,White, Sharjah
gmc,yukon,2010,51266,124586,SUV,8,Automatic Transmission,Gasoline,Gold, Abu Dhabi
bentley,continental-flying-spur,2005,91199,121489,Sedan,12,Automatic Transmission,Gasoline,Beige, Dubai
mercedes-benz,s-class-coupe,2023,1577489,253866,Sedan,12,Automatic Transmission,Gasoline,Black, Dubai
mercedes-benz,glc,2014,306925,168461,Coupe,4,Automatic Transmission,Gasoline,Black, Dubai
